SECTION,TYPE,CATEGORY,ELEMENT,VALUE,UNIT
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,11843,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,4550,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,20942,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,4550,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Aggregate Asphalt Hardscape,Compacted Aggregate Base,3900,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Brick Stone Hardscape,Stone Curb,43544,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,94733,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,5774,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Paving,194676,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,7910,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,1386,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,239696,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,9303,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,152625,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Unit Pavers,52072,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Welded Wire Mesh (Fabric) Reinforcement,1347,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Cast-in-Place Concrete Subslab,33157,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Concrete Hardscape,Precast Concrete Wall or Panels,9693,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Metal Wood Hardscape,Tree Grates,22645,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Playground Athletic,EPDM Safety Surface,20617,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Playground Athletic,Synthetic Turf,12232,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Site Elements,Stone Boulders,23854,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Amended Planting Soil,119343,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Organic Mulch,27684,kgCOâ‚‚e
Carbon Impact,Embodied Carbon Emissions,Soil Amendments,Gravel Mulch,5472,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Lawn,Moderate Management Lawn,43827,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Perennials Perennial Grasses,Perennials / Perennial Grasses,-43318,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Small Shrub,-194215,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Medium Shrub,-423819,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Deciduous Large Shrub,-196346,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Small Shrub,-145340,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Medium Shrub,-329689,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Shrubs,Evergreen Large Shrub,-7909,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Large Tree,-185526,kgCOâ‚‚e
Carbon Impact,Biogenic (Sequestration + Emissions),Trees,Deciduous Medium Tree,-27599,kgCOâ‚‚e
